@relation allvids*allfeats
@attribute letterfcount NUMERIC
@attribute digitfcount NUMERIC
@attribute spcharfcount NUMERIC
@attribute scenecount NUMERIC
@attribute openinglen NUMERIC
@attribute endinglen NUMERIC
@attribute stimgcount NUMERIC
@attribute isCG NUMERIC
@attribute moneyfcount NUMERIC
@attribute framewidth NUMERIC
@attribute frameheigth NUMERIC
@attribute framepersec NUMERIC
@attribute duration NUMERIC
@attribute framecount NUMERIC
@attribute blackcount NUMERIC
@attribute whitecount NUMERIC
@attribute grayscount NUMERIC
@attribute facecount NUMERIC
@attribute faceavelocx NUMERIC
@attribute faceavelocy NUMERIC
@attribute facesumarea NUMERIC
@data
3,0,0,1,1,1,5,0,0,640.0,360.0,30.0,66.0,1980.0,1,0,32,8,307,139,192843
11,0,1,3,1,2,3,0,0,560.0,420.0,30.0,204.0,6120.0,0,0,119,16,311,135,95315
4,0,9,1,1,10,0,1,0,640.0,360.0,30.0,204.0,6120.0,89,0,108,1,104,291,2401
3,0,0,1,1,1,2,2,0,640.0,360.0,30.0,106.0,3180.0,3,0,25,8,404,212,19507
2,0,0,3,0,0,0,0,0,640.0,360.0,30.0,313.0,9390.0,0,0,189,255,368,88,1721214
17,5,0,7,1,1,1,2,0,640.0,360.0,30.0,323.0,9690.0,1,0,105,131,259,113,2000587
4,1,0,2,1,1,2,0,0,640.0,360.0,30.0,127.0,3810.0,2,0,56,51,297,142,232005
5,1,0,2,1,1,0,2,0,640.0,480.0,30.0,125.0,3750.0,1,0,33,47,294,170,2255329
3,1,1,2,0,0,0,2,0,560.0,420.0,30.0,278.0,8340.0,0,0,244,286,218,195,1969838
8,5,1,2,1,1,3,0,0,640.0,360.0,30.0,156.0,4680.0,3,0,73,25,361,63,152893
3,0,3,1,2,1,0,0,0,640.0,480.0,30.0,389.0,11670.0,1,0,23,349,281,192,2645031
0,1,0,1,0,0,1,0,0,640.0,360.0,30.0,186.0,5580.0,0,0,9,216,261,54,491829
13,0,0,1,0,1,1,0,0,560.0,314.0,30.0,157.0,4710.0,0,0,19,110,271,67,708933
8,1,1,3,1,1,1,2,0,640.0,360.0,30.0,241.0,7230.0,12,0,80,92,453,108,589208
13,4,2,1,1,1,10,2,2,560.0,314.0,20.0,229.0,4580.0,5,0,124,7,265,78,53064
16,4,0,4,1,1,29,2,0,640.0,360.0,30.0,2016.0,60480.0,25,0,1912,1283,308,105,14845190
4,0,0,2,1,1,0,2,0,640.0,360.0,30.0,291.0,8730.0,2,0,116,61,247,99,919620
